cvm_code,trade_name,b3_trade_name,b3_issuer_code,b3_segment,b3_sector,available_years
18465,Ultrapar,ULTRAPAR,UGPA,"Exploração, Refino e Distribuição","Petróleo, Gás e Biocombustíveis",14
18538,MENEZES CORT,MENEZES CORT,MNZC,Exploração de Imóveis,Financeiro,14
18597,Dtcom,DTCOM-DIRECT,DTCY,Serviços Diversos,Bens Industriais,14
18627,Sanepar,SANEPAR,SAPR,Água e Saneamento,Utilidade Pública,14
18660,CPFL Energia,CPFL ENERGIA,CPFE,Energia Elétrica,Utilidade Pública,14
18708,Participações Aliança da Bahia,PAR AL BAHIA,PEAB,Holdings Diversificadas,Financeiro,14
18724,Bradespar,BRADESPAR,BRAP,Minerais Metálicos,Materiais Básicos,14
18759,BRAZILIAN SC,BRAZILIAN SC,BSCS,Securitizadoras de Recebíveis,Financeiro,14
18775,INVEPAR,INVEPAR,IVPR,Serviços de Apoio e Armazenagem,Bens Industriais,14
18821,Grupo CCR,CCR SA,CCRO,Exploração de Rodovias,Bens Industriais,14
18953,CPFL GERACAO,CPFL GERACAO,CPFG,Energia Elétrica,Utilidade Pública,14
18970,AES Tietê Energia,AES TIETE E,TIET,Energia Elétrica,Utilidade Pública,11
19100,Atma,ATMASA,ATMP,Serviços Diversos,Bens Industriais,14
19119,CABINDA PART,CABINDA PART,CABI,Outros,Outros,14
19135,CACONDE PART,CACONDE PART,CACO,Outros,Outros,14
19208,CONC RIO TER,CONC RIO TER,CRTE,Exploração de Rodovias,Bens Industriais,14
19232,PROMAN,PROMAN,PRMN,Energia Elétrica,Utilidade Pública,14
19275,CPFL PIRATIN,CPFL PIRATIN,CPFP,Energia Elétrica,Utilidade Pública,14
19305,Biomm,BIOMM,BIOM,Medicamentos e Outros Produtos,Saúde,14
19330,Triunfo,TRIUNFO PART,TPIS,Exploração de Rodovias,Bens Industriais,14
19348,Itaú Unibanco,ITAUUNIBANCO,ITUB,Bancos,Financeiro,14
19364,ITAPEBI,ITAPEBI,ITPB,Energia Elétrica,Utilidade Pública,14
19445,COPASA,COPASA,CSMG,Água e Saneamento,Utilidade Pública,14
19453,EcoRodovias,ECORODOVIAS,ECOR,Exploração de Rodovias,Bens Industriais,14
19550,NATURA,NATURA,NATU,Produtos de Uso Pessoal,Consumo não Cíclico,14
19569,GOL,GOL,GOLL,Transporte Aéreo,Bens Industriais,14
19593,SANESALTO,SANESALTO,SNST,Água e Saneamento,Utilidade Pública,13
19615,Grendene,GRENDENE,GRND,Calçados,Consumo Cíclico,14
19623,Dasa,DASA,DASA,"Serviços Médicos, Hospitalares, Análises e Diagnósticos",Saúde,14
19640,BRADESCO LSG,BRADESCO LSG,BDLS,Sociedade Arrendamento Mercantil,Financeiro,14
